word|level
ability|A2
able|A2
abroad|A2
accept|A2
accident|A2
according to|A2
achieve|A2
act|A2
active|A2
actually|A2
adult|A2
advantage|A2
adventure|A2
advertise|A2
advertisement|A2
advertising|A2
affect|A2
after|A2
against|A2
ah|A2
airline|A2
alive|A2
all|A2
all right|A2
allow|A2
almost|A2
alone|A2
along|A2
already|A2
alternative|A2
although|A2
among|A2
amount|A2
ancient|A2
ankle|A2
any|A2
anybody|A2
any more|A2
anyway|A2
anywhere|A2
app|A2
appear|A2
appearance|A2
apply|A2
architect|A2
architecture|A2
argue|A2
argument|A2
army|A2
arrange|A2
arrangement|A2
as|A2
asleep|A2
assistant|A2
athlete|A2
attack|A2
attend|A2
attention|A2
attractive|A2
audience|A2
author|A2
available|A2
average|A2
avoid|A2
award|A2
awful|A2
back|A2
background|A2
badly|A2
bar|A2
baseball|A2
based|A2
basketball|A2
bean|A2
bear|A2
beat|A2
beef|A2
before|A2
behave|A2
behaviour|A2
belong|A2
belt|A2
benefit|A2
best|A2
better|A2
between|A2
billion|A2
bin|A2
biology|A2
birth|A2
biscuit|A2
bit|A2
blank|A2
blood|A2
blow|A2
board|A2
boil|A2
bone|A2
book|A2
borrow|A2
boss|A2
bottom|A2
bowl|A2
brain|A2
bridge|A2
bright|A2
brilliant|A2
broken|A2
brush|A2
burn|A2
businessman|A2
button|A2
camp|A2
camping|A2
can|A2
care|A2
careful|A2
carefully|A2
carpet|A2
cartoon|A2
case|A2
cash|A2
castle|A2
catch|A2
cause|A2
celebrate|A2
celebrity|A2
certain|A2
certainly|A2
chance|A2
character|A2
charity|A2
chat|A2
check|A2
chef|A2
chemistry|A2
chip|A2
choice|A2
church|A2
cigarette|A2
circle|A2
classical|A2
clear|A2
clearly|A2
clever|A2
climate|A2
close|A2
closed|A2
clothing|A2
cloud|A2
coach|A2
coast|A2
code|A2
colleague|A2
collect|A2
column|A2
comedy|A2
comfortable|A2
comment|A2
communicate|A2
community|A2
compete|A2
competition|A2
complain|A2
completely|A2
condition|A2
conference|A2
connect|A2
connected|A2
consider|A2
contain|A2
context|A2
continent|A2
continue|A2
control|A2
cook|A2
cooker|A2
copy|A2
corner|A2
correctly|A2
count|A2
couple|A2
cover|A2
crazy|A2
creative|A2
credit|A2
crime|A2
criminal|A2
cross|A2
crowd|A2
crowded|A2
cry|A2
cupboard|A2
curly|A2
cycle|A2
daily|A2
danger|A2
dark|A2
data|A2
dead|A2
deal|A2
dear|A2
death|A2
decision|A2
deep|A2
definitely|A2
degree|A2
dentist|A2
department|A2
depend|A2
desert|A2
designer|A2
destroy|A2
detective|A2
develop|A2
device|A2
diary|A2
differently|A2
digital|A2
direct|A2
direction|A2
director|A2
disagree|A2
disappear|A2
disaster|A2
discover|A2
discovery|A2
discussion|A2
disease|A2
distance|A2
divorced|A2
document|A2
double|A2
download|A2
downstairs|A2
drama|A2
drawing|A2
dream|A2
drive|A2
driving|A2
drop|A2
drug|A2
dry|A2
earn|A2
earth|A2
easily|A2
education|A2
effect|A2
either|A2
electric|A2
electrical|A2
electricity|A2
electronic|A2
employ|A2
employee|A2
employer|A2
empty|A2
ending|A2
energy|A2
engine|A2
engineer|A2
enormous|A2
enter|A2
environment|A2
equipment|A2
error|A2
especially|A2
essay|A2
everyday|A2
everywhere|A2
evidence|A2
exact|A2
exactly|A2
excellent|A2
except|A2
exist|A2
expect|A2
experience|A2
experiment|A2
expert|A2
explanation|A2
express|A2
expression|A2
extreme|A2
extremely|A2
factor|A2
factory|A2
fail|A2
fair|A2
fall|A2
fan|A2
farm|A2
farming|A2
fashion|A2
fat|A2
fear|A2
feature|A2
feed|A2
female|A2
fiction|A2
field|A2
fight|A2
figure|A2
film|A2
