word|level
abandon|B2
absolute|B2
absorb|B2
abstract|B2
academic|B2
accent|B2
acceptable|B2
accidentally|B2
accommodate|B2
accommodation|B2
accompany|B2
accomplish|B2
account|B2
accountant|B2
accuracy|B2
accurate|B2
accurately|B2
accuse|B2
acknowledge|B2
acquire|B2
acre|B2
activate|B2
actual|B2
adapt|B2
addiction|B2
additional|B2
additionally|B2
address|B2
adequate|B2
adequately|B2
adjust|B2
administration|B2
adopt|B2
advance|B2
affair|B2
affordable|B2
afterwards|B2
aged|B2
agency|B2
agenda|B2
aggressive|B2
agriculture|B2
aid|B2
AIDS|B2
aircraft|B2
alarm|B2
alien|B2
alongside|B2
alter|B2
altogether|B2
ambitious|B2
ambulance|B2
amount|B2
amusing|B2
analyst|B2
ancestor|B2
anger|B2
angle|B2
animation|B2
anniversary|B2
annual|B2
annually|B2
anticipate|B2
anxiety|B2
anxious|B2
apology|B2
apparent|B2
apparently|B2
appeal|B2
applicant|B2
approach|B2
appropriate|B2
appropriately|B2
approval|B2
approve|B2
arise|B2
armed|B2
arms|B2
arrow|B2
artificial|B2
artistic|B2
artwork|B2
ashamed|B2
aspect|B2
assess|B2
assessment|B2
asset|B2
assign|B2
assistance|B2
associate|B2
associated|B2
association|B2
assume|B2
assumption|B2
assure|B2
astonishing|B2
athletic|B2
attachment|B2
attempt|B2
audio|B2
awareness|B2
awkward|B2
back|B2
bacteria|B2
badge|B2
balanced|B2
ballet|B2
balloon|B2
bar|B2
barely|B2
bargain|B2
barrier|B2
basement|B2
basically|B2
basket|B2
bat|B2
battle|B2
bear|B2
beat|B2
beg|B2
being|B2
beneficial|B2
bent|B2
beside|B2
besides|B2
bet|B2
beyond|B2
bias|B2
bid|B2
bill|B2
biological|B2
bitter|B2
blame|B2
blanket|B2
blind|B2
blow|B2
bold|B2
bombing|B2
bond|B2
boost|B2
border|B2
bound|B2
breast|B2
brick|B2
brief|B2
briefly|B2
broad|B2
broadcast|B2
broadcaster|B2
broadly|B2
buck|B2
budget|B2
bug|B2
bullet|B2
bunch|B2
burn|B2
bush|B2
but|B2
cabin|B2
cable|B2
calculate|B2
canal|B2
cancel|B2
cancer|B2
candle|B2
capable|B2
capacity|B2
capture|B2
carbon|B2
cast|B2
castle|B2
casual|B2
catch|B2
cave|B2
cell|B2
certainty|B2
certificate|B2
chain|B2
chair|B2
chairman|B2
challenge|B2
challenging|B2
championship|B2
characteristic|B2
charming|B2
chart|B2
chase|B2
cheek|B2
cheer|B2
chief|B2
chop|B2
circuit|B2
circumstance|B2
cite|B2
citizen|B2
civil|B2
civilization|B2
clarify|B2
classic|B2
classify|B2
cliff|B2
clinic|B2
clip|B2
close|B2
closely|B2
coincidence|B2
collapse|B2
collector|B2
colony|B2
colourful|B2
combination|B2
comfort|B2
comic|B2
command|B2
commander|B2
commission|B2
commitment|B2
committee|B2
commonly|B2
comparative|B2
completion|B2
complex|B2
complicated|B2
component|B2
compose|B2
composer|B2
compound|B2
comprehensive|B2
comprise|B2
compulsory|B2
concentration|B2
concept|B2
concern|B2
concerned|B2
concrete|B2
conduct|B2
confess|B2
confidence|B2
conflict|B2
confusing|B2
confusion|B2
conscious|B2
consequently|B2
conservation|B2
conservative|B2
considerable|B2
considerably|B2
consideration|B2
consistent|B2
consistently|B2
conspiracy|B2
constant|B2
constantly|B2
construct|B2
construction|B2
consult|B2
consultant|B2
consumption|B2
contemporary|B2
contest|B2
contract|B2
contribute|B2
contribution|B2
controversial|B2
controversy|B2
convenience|B2
convention|B2
conventional|B2
convert|B2
convey|B2
convinced|B2
convincing|B2
cop|B2
cope|B2
core|B2
corporate|B2
corporation|B2
corridor|B2
council|B2
counter|B2
county|B2
courage|B2
coverage|B2
cowboy|B2
crack|B2
crash|B2
creation|B2
creativity|B2
creature|B2
credit|B2
crew|B2
crisis|B2
criterion|B2
critic|B2
critical|B2
critically|B2
criticism|B2
criticize|B2
crop|B2
crucial|B2
cruise|B2
cry|B2
cue|B2
cure|B2
curious|B2
current|B2
curriculum|B2
curve|B2
curved|B2
cute|B2
dairy|B2
dare|B2
darkness|B2
database|B2
date|B2
deadline|B2
deadly|B2
dealer|B2
debate|B2
debt|B2
decent|B2
deck|B2
declare|B2
decline|B2
decoration|B2
decrease|B2
deeply|B2
defeat|B2
defence|B2
defend|B2
defender|B2
delay|B2
delete|B2
deliberate|B2
deliberately|B2
delight|B2
delighted|B2
delivery|B2
demand|B2
democracy|B2
democratic|B2
demonstrate|B2
demonstration|B2
deny|B2
depart|B2
dependent|B2
deposit|B2
depressed|B2
depressing|B2
depression|B2
depth|B2
derive|B2
desert|B2
deserve|B2
desire|B2
desperate|B2
desperately|B2
destruction|B2
detail|B2
detailed|B2
detect|B2
determination|B2
devote|B2
differ|B2
dig|B2
dime|B2
disability|B2
disabled|B2
disagreement|B2
disappoint|B2
disappointment|B2
disc|B2
discipline|B2
discount|B2
discourage|B2
dishonest|B2
dismiss|B2
disorder|B2
display|B2
distant|B2
distinct|B2
distinguish|B2
distract|B2
distribute|B2
distribution|B2
district|B2
disturb|B2
dive|B2
diverse|B2
diversity|B2
divide|B2
division|B2
divorce|B2
document|B2
domestic|B2
dominant|B2
dominate|B2
